ResourceName,StandardName,DisplayName,Definition,Groups,SimpleDataType,SourceResource,SugMaxLength,SugMaxPrecision,Synonyms,FrenchCanadianDisplayName,SpanishDisplayName,ElementStatus,RecordId,LegacyRecordId,LookupStatus,LookupName,RepeatingElement,PropertyTypes,Payloads,StatusChangeDate,RevisedDate,AddedInVersion,WikiPageTitle,WikiPageUrl,WikiPageId,TargetResourceKey,SourceResourceKey,BEDES
ShowingRequest,ShowingRequestDate,Showing Request Date,The date that the showing request was made.,,Date,,10,,,,,Active,cb0dae7,,,,No,,,6/16/2022,6/16/2022,2.0.0,ShowingRequestDate Field,https://ddwiki.reso.org/display/DDW20/ShowingRequestDate+Field,1136182,,,
ShowingRequest,ShowingRequestDuration,Showing Request Duration,The amount of time requested for the showing.,,String,,50,,,,,Active,df933bb,,,,No,,,6/16/2022,6/16/2022,2.0.0,ShowingRequestDuration Field,https://ddwiki.reso.org/display/DDW20/ShowingRequestDuration+Field,1136188,,,
ShowingRequest,ShowingRequestedDate,Showing Requested Date,The date when the showing was requested.,,Date,,10,,,,,Active,529839b,,,,No,,,6/16/2022,6/16/2022,2.0.0,ShowingRequestedDate Field,https://ddwiki.reso.org/display/DDW20/ShowingRequestedDate+Field,1136194,,,
ShowingRequest,ShowingRequestedTimestamp,Showing Requested Timestamp,"The date/time when the showing agent submitted a request to access the property. This is a system timestamp normally generated by a showing system, which is commonly the originating system for showing records.",,Timestamp,,27,,,,,Active,a585644,,,,No,,,6/16/2022,6/16/2022,2.0.0,ShowingRequestedTimestamp Field (ShowingRequest),https://ddwiki.reso.org/pages/viewpage.action?pageId=1136200,1136200,,,
ShowingRequest,ShowingRequestEndTime,Showing Request End Time,The local end time of the showing request. The locale is defined by the showing.,,Timestamp,,27,,,,,Active,ecf7ed5,,,,No,,,6/16/2022,6/16/2022,2.0.0,ShowingRequestEndTime Field,https://ddwiki.reso.org/display/DDW20/ShowingRequestEndTime+Field,1136207,,,
ShowingRequest,ShowingRequestId,Showing Request ID,The requestor's unique ID attached to the request.,,String,,255,,,,,Active,4a15ea8,,,,No,,,6/16/2022,6/16/2022,2.0.0,ShowingRequestId Field,https://ddwiki.reso.org/display/DDW20/ShowingRequestId+Field,1136213,,,
ShowingRequest,ShowingRequestKey,Showing Request Key,"A system unique identifier. Specifically, the local key to the ShowingRequest resource.",,String,,255,,,,,Active,5f9f7ad,,,,No,,,6/16/2022,6/16/2022,2.0.0,ShowingRequestKey Field,https://ddwiki.reso.org/display/DDW20/ShowingRequestKey+Field,1136218,,,
ShowingRequest,ShowingRequestNotes,Showing Request Notes,"The notes supplementing the request, provided by the requestor.",,String,,255,,,,,Active,b36ea5f,,,,No,,,6/16/2022,6/16/2022,2.0.0,ShowingRequestNotes Field,https://ddwiki.reso.org/display/DDW20/ShowingRequestNotes+Field,1136225,,,
ShowingRequest,ShowingRequestor,Showing Requestor,"The role of the person making the request (e.g., showing agent, inspector, buyer, tenant).",,"String List, Multi",,1024,,,,,Active,86b453b,,Open with Enumerations,ShowingRequestor,No,,,6/16/2022,6/16/2022,2.0.0,ShowingRequestor Field,https://ddwiki.reso.org/display/DDW20/ShowingRequestor+Field,1136230,,,
ShowingRequest,ShowingRequestStartTime,Showing Request Start Time,The local start time of the showing request. The locale is defined by the showing.,,Timestamp,,27,,,,,Active,730620d,,,,No,,,6/16/2022,6/16/2022,2.0.0,ShowingRequestStartTime Field,https://ddwiki.reso.org/display/DDW20/ShowingRequestStartTime+Field,1136236,,,
ShowingRequest,ShowingRequestType,Showing Request Type,"The type of showing being requested (e.g., first, second, broker preview, broker price opinion, inspection).",,"String List, Multi",,1024,,,,,Active,331e342,,Open with Enumerations,ShowingRequestType,No,,,6/16/2022,6/16/2022,2.0.0,ShowingRequestType Field,https://ddwiki.reso.org/display/DDW20/ShowingRequestType+Field,1136244,,,
SocialMedia,ClassName,Class Name,Name of the class to which the record is referencing.,,"String List, Single",,255,,,,,Active,2d9cfc6,444001,Open with Enumerations,ClassName,No,,,12/26/2018,10/26/2017,1.7.0,ClassName Field (SocialMedia),https://ddwiki.reso.org/pages/viewpage.action?pageId=1135822,1135822,,,
SocialMedia,DisplayName,Display Name,"The display name for the field. SHOULD be provided in all cases where the use of display names is needed, even if the display name is the same as the underlying field name. The DisplayName MAY be a RESO Standard Display Name or a local one.",,String,,,,,,,Active,05425c5,,,,No,,,2021-12-08,2021-12-08,1.7.0,DisplayName Field,https://ddwiki.reso.org/display/DDW20/DisplayName+Field,1135828,,,
SocialMedia,HistoryTransactional,History Transactional,The history of the SocialMedia record.,,Collection,HistoryTransactional,,,,,,Active,bd92a6c,,,,No,,,,,2.0.0,HistoryTransactional Field (SocialMedia),https://ddwiki.reso.org/pages/viewpage.action?pageId=1135834,1135834,,,
SocialMedia,ModificationTimestamp,Modification Timestamp,The transactional timestamp automatically recorded by the MLS system representing the date/time the SocialMedia record was last modified.,,Timestamp,,27,,"ModificationDateTime, DateTimeModified, ModDate, DateMod, UpdateDate, UpdateTimestamp",,,Active,de3ed0d,444002,,,No,,,12/26/2018,10/26/2017,1.7.0,ModificationTimestamp Field (SocialMedia),https://ddwiki.reso.org/pages/viewpage.action?pageId=1135840,1135840,,,
SocialMedia,ResourceName,Resource Name,"The resource or table of the listing or other record that the media relates to (i.e., Property, Member, Office, etc.).",,"String List, Single",,50,,,,,Active,7fde06f,444003,Open with Enumerations,ResourceName,No,,,12/26/2018,10/26/2017,1.7.0,ResourceName Field (SocialMedia),https://ddwiki.reso.org/pages/viewpage.action?pageId=1135846,1135846,,,
SocialMedia,ResourceRecordID,Resource Record ID,"The well-known identifier of the related record from the source resource. The value may be identical to that of the Listing Key, but the Listing ID is intended to be the value used by a human to retrieve the information about a specific listing. In a multiple-originating or merged system, this value may not be unique and may require the use of the provider system to create a synthetic unique value.",,String,,255,,"MLNumber, MLSNumber, ListingNumber, AgentID, OfficeID, ContactID",,,Active,fddcb98,444004,,,No,,,12/26/2018,10/26/2017,1.7.0,ResourceRecordID Field (SocialMedia),https://ddwiki.reso.org/pages/viewpage.action?pageId=1135853,1135853,,,
SocialMedia,ResourceRecordKey,Resource Record Key,"The primary key of the related record from the source resource (e.g., ListingKey, AgentKey, OfficeKey, TeamKey). The system being connected to, not necessarily the original source of the record. A foreign key from the resource selected in the ResourceName field.",,String,,255,,"SystemUniqueID, ImmediateSourceID",,,Active,a31a72e,444005,,,No,,,12/26/2018,10/26/2017,1.7.0,ResourceRecordKey Field (SocialMedia),https://ddwiki.reso.org/pages/viewpage.action?pageId=1135859,1135859,,,
